model,prompt_index,method,n_tokens,is_correct,spearman,kendall_tau_b,top10_jaccard
LLaMA-3.2 1B,4,Temperature Scope,67,True,0.6908771649772528,0.5115332428765266,0.4
LLaMA-3.2 1B,4,Semantic Scope,67,True,0.6913959613696226,0.5133423790140209,0.4
LLaMA-3.2 1B,4,Input × Gradient,67,True,0.703288370979328,0.5241971958389869,0.2727272727272727
LLaMA-3.2 1B,4,Fisher Scope (k=4),67,True,0.7435948599249741,0.5639981908638626,0.2727272727272727
LLaMA-3.2 1B,4,Integrated Gradients,67,True,0.32436746747545697,0.22568973315241975,0.2727272727272727
LLaMA-3.2 1B,4,Random,67,True,0.2172160587437146,0.1569425599276346,0.07692307692307693
LLaMA-3.2 1B,5,Temperature Scope,66,True,0.5974115436802006,0.43589743589743585,0.4
LLaMA-3.2 1B,5,Semantic Scope,66,True,0.5720279720279721,0.4041958041958042,0.4
LLaMA-3.2 1B,5,Input × Gradient,66,True,0.5233900427930279,0.3696969696969697,0.4
LLaMA-3.2 1B,5,Fisher Scope (k=4),66,True,0.6001669971819227,0.42937062937062936,0.4
LLaMA-3.2 1B,5,Integrated Gradients,66,True,0.3223671850537523,0.22424242424242422,0.4
LLaMA-3.2 1B,5,Random,66,True,0.060766099572069736,0.045221445221445215,0.07692307692307693
LLaMA-3.2 1B,6,Temperature Scope,91,True,0.340643414556458,0.24493284493284492,0.25
LLaMA-3.2 1B,6,Semantic Scope,91,True,0.33304666348144607,0.24053724053724052,0.25
LLaMA-3.2 1B,6,Input × Gradient,91,True,0.3590062111801242,0.24639804639804638,0.3333333333333333
LLaMA-3.2 1B,6,Fisher Scope (k=4),91,True,0.38568243350852044,0.26935286935286934,0.3333333333333333
LLaMA-3.2 1B,6,Integrated Gradients,91,True,0.41798057015448326,0.29426129426129427,0.5384615384615384
LLaMA-3.2 1B,6,Random,91,True,-0.13223443223443224,-0.08424908424908426,0.05263157894736842
LLaMA-3.2 1B,7,Temperature Scope,76,False,0.7058646616541353,0.5164912280701756,0.3333333333333333
LLaMA-3.2 1B,7,Semantic Scope,76,False,0.7387833219412167,0.5382456140350877,0.3333333333333333
LLaMA-3.2 1B,7,Input × Gradient,76,False,0.7588516746411483,0.5803508771929825,0.23076923076923078
LLaMA-3.2 1B,7,Fisher Scope (k=4),76,False,0.8359261790840737,0.6371929824561404,0.45454545454545453
LLaMA-3.2 1B,7,Integrated Gradients,76,False,0.3750922761449077,0.2666666666666667,0.14285714285714285
LLaMA-3.2 1B,7,Random,76,False,0.040082023239917976,0.03228070175438597,0.06666666666666667
LLaMA-3.2 1B,8,Temperature Scope,66,True,0.5869742198100407,0.4191142191142191,0.4
LLaMA-3.2 1B,8,Semantic Scope,66,True,0.5563302369272519,0.393006993006993,0.4
LLaMA-3.2 1B,8,Input × Gradient,66,True,0.5713182340048012,0.4023310023310023,0.4
LLaMA-3.2 1B,8,Fisher Scope (k=4),66,True,0.5715269804822045,0.39953379953379947,0.4
LLaMA-3.2 1B,8,Integrated Gradients,66,True,0.4762133388999061,0.32867132867132864,0.5555555555555556
LLaMA-3.2 1B,8,Random,66,True,0.09374804300177436,0.06386946386946386,0.07692307692307693
LLaMA-3.2 1B,9,Temperature Scope,63,True,0.611847158218126,0.4357398873527905,0.2727272727272727
LLaMA-3.2 1B,9,Semantic Scope,63,True,0.6312403993855608,0.4531490015360982,0.2727272727272727
LLaMA-3.2 1B,9,Input × Gradient,63,True,0.6324404761904762,0.4449564772145416,0.4
LLaMA-3.2 1B,9,Fisher Scope (k=4),63,True,0.6715149769585254,0.4828469022017408,0.2727272727272727
LLaMA-3.2 1B,9,Integrated Gradients,63,True,0.4772465437788018,0.32002048131080385,0.16666666666666666
LLaMA-3.2 1B,9,Random,63,True,-0.031442012288786486,-0.01996927803379416,0.0
LLaMA-3.2 1B,10,Temperature Scope,74,True,0.6447537948907811,0.47352832284339136,0.23076923076923078
LLaMA-3.2 1B,10,Semantic Scope,74,True,0.6857164013328396,0.510551647537949,0.23076923076923078
LLaMA-3.2 1B,10,Input × Gradient,74,True,0.6063087745279525,0.44020733061828954,0.23076923076923078
LLaMA-3.2 1B,10,Fisher Scope (k=4),74,True,0.6534320621991854,0.4801925212884117,0.23076923076923078
LLaMA-3.2 1B,10,Integrated Gradients,74,True,0.6012736023694928,0.4372454646427249,0.3333333333333333
LLaMA-3.2 1B,10,Random,74,True,-0.11425398000740464,-0.07663828211773419,0.0
LLaMA-3.2 1B,11,Temperature Scope,73,True,0.324386029865482,0.21613394216133944,0.45454545454545453
LLaMA-3.2 1B,11,Semantic Scope,73,True,0.2740651610514625,0.1940639269406393,0.3333333333333333
LLaMA-3.2 1B,11,Input × Gradient,73,True,0.3112736023694928,0.21385083713850836,0.45454545454545453
LLaMA-3.2 1B,11,Fisher Scope (k=4),73,True,0.3851042823645564,0.2762557077625571,0.45454545454545453
LLaMA-3.2 1B,11,Integrated Gradients,73,True,0.3376835739849439,0.23211567732115676,0.45454545454545453
LLaMA-3.2 1B,11,Random,73,True,0.23309268172281875,0.14840182648401826,0.06666666666666667
LLaMA-3.2 1B,12,Temperature Scope,131,True,0.5908770618694283,0.4283029947152085,0.4
LLaMA-3.2 1B,12,Semantic Scope,131,True,0.6011103400416378,0.4395772166764534,0.5555555555555556
LLaMA-3.2 1B,12,Input × Gradient,131,True,0.6075321624939946,0.4428655314151498,0.47368421052631576
LLaMA-3.2 1B,12,Fisher Scope (k=4),131,True,0.6667218277905301,0.49406928948913686,0.47368421052631576
LLaMA-3.2 1B,12,Integrated Gradients,131,True,0.06351358565099023,0.044744568408690545,0.3333333333333333
LLaMA-3.2 1B,12,Random,131,True,0.0027918646239256926,-0.0019964768056371113,0.037037037037037035
LLaMA-3.2 1B,13,Temperature Scope,69,True,0.6492144683960541,0.4629156010230179,0.2727272727272727
LLaMA-3.2 1B,13,Semantic Scope,69,True,0.6885641213006942,0.5115089514066495,0.5555555555555556
LLaMA-3.2 1B,13,Input × Gradient,69,True,0.662148337595908,0.48849104859335035,0.5555555555555556
LLaMA-3.2 1B,13,Fisher Scope (k=4),69,True,0.7185239313116552,0.5447570332480818,0.4
LLaMA-3.2 1B,13,Integrated Gradients,69,True,0.4336499817318232,0.31202046035805625,0.4
LLaMA-3.2 1B,13,Random,69,True,-0.022067957617829745,-0.010230179028132991,0.0
LLaMA-3.2 1B,14,Temperature Scope,71,True,0.5471830985915492,0.37303822937625764,0.14285714285714285
LLaMA-3.2 1B,14,Semantic Scope,71,True,0.44530516431924877,0.2917505030181087,0.14285714285714285
LLaMA-3.2 1B,14,Input × Gradient,71,True,0.4439973172367538,0.29979879275653926,0.14285714285714285
LLaMA-3.2 1B,14,Fisher Scope (k=4),71,True,0.5211267605633803,0.3448692152917505,0.14285714285714285
LLaMA-3.2 1B,14,Integrated Gradients,71,True,0.6031857813547954,0.4261569416498995,0.14285714285714285
LLaMA-3.2 1B,14,Random,71,True,-0.11153588195841714,-0.07283702213279679,0.14285714285714285
LLaMA-3.2 1B,15,Temperature Scope,80,False,0.657149554617909,0.47531645569620246,0.45454545454545453
LLaMA-3.2 1B,15,Semantic Scope,80,False,0.7585794655414909,0.5664556962025317,0.45454545454545453
LLaMA-3.2 1B,15,Input × Gradient,80,False,0.7522269104547585,0.5683544303797468,0.45454545454545453
LLaMA-3.2 1B,15,Fisher Scope (k=4),80,False,0.7365682137834038,0.5455696202531646,0.45454545454545453
LLaMA-3.2 1B,15,Integrated Gradients,80,False,0.19423347398030943,0.13734177215189872,0.3333333333333333
LLaMA-3.2 1B,15,Random,80,False,-0.07011251758087202,-0.05,0.0
LLaMA-3.2 1B,16,Temperature Scope,63,True,0.49654377880184336,0.3558627752176139,0.16666666666666666
LLaMA-3.2 1B,16,Semantic Scope,63,True,0.5475230414746545,0.3978494623655914,0.2727272727272727
LLaMA-3.2 1B,16,Input × Gradient,63,True,0.5085925499231951,0.36098310291858676,0.2727272727272727
LLaMA-3.2 1B,16,Fisher Scope (k=4),63,True,0.5185291858678955,0.3742959549411162,0.2727272727272727
LLaMA-3.2 1B,16,Integrated Gradients,63,True,0.12283986175115207,0.07731694828469021,0.16666666666666666
LLaMA-3.2 1B,16,Random,63,True,-0.10387864823348694,-0.07322068612391193,0.16666666666666666
LLaMA-3.2 1B,17,Temperature Scope,71,True,0.46398390342052304,0.3271629778672032,0.23076923076923078
LLaMA-3.2 1B,17,Semantic Scope,71,True,0.5706572769953051,0.4205231388329981,0.23076923076923078
LLaMA-3.2 1B,17,Input × Gradient,71,True,0.5435613682092555,0.3963782696177063,0.3333333333333333
LLaMA-3.2 1B,17,Fisher Scope (k=4),71,True,0.5942320590207913,0.43661971830985924,0.23076923076923078
LLaMA-3.2 1B,17,Integrated Gradients,71,True,0.27243460764587524,0.19195171026156943,0.23076923076923078
LLaMA-3.2 1B,17,Random,71,True,0.017873910127431253,0.003621730382293763,0.06666666666666667
LLaMA-3.2 1B,18,Temperature Scope,79,False,0.5305501460564752,0.3807205452775073,0.6
LLaMA-3.2 1B,18,Semantic Scope,79,False,0.4962755598831548,0.3502109704641351,0.6
LLaMA-3.2 1B,18,Input × Gradient,79,False,0.491333982473223,0.35929892891918214,0.6
LLaMA-3.2 1B,18,Fisher Scope (k=4),79,False,0.48892405063291144,0.3430704316780266,0.6
LLaMA-3.2 1B,18,Integrated Gradients,79,False,0.10041382667964946,0.06458941901979877,0.23076923076923078
LLaMA-3.2 1B,18,Random,79,False,0.24698149951314508,0.1762414800389484,0.06666666666666667
LLaMA-3.2 1B,19,Temperature Scope,75,True,0.42449502133712663,0.2900900900900901,0.3333333333333333
LLaMA-3.2 1B,19,Semantic Scope,75,True,0.47021337126600277,0.3268468468468469,0.23076923076923078
LLaMA-3.2 1B,19,Input × Gradient,75,True,0.5632147937411095,0.4032432432432433,0.3333333333333333
LLaMA-3.2 1B,19,Fisher Scope (k=4),75,True,0.47291607396870555,0.32252252252252256,0.23076923076923078
LLaMA-3.2 1B,19,Integrated Gradients,75,True,0.48210526315789465,0.3333333333333334,0.45454545454545453
LLaMA-3.2 1B,19,Random,75,True,-0.1242674253200569,-0.0846846846846847,0.0
LLaMA-3.2 1B,20,Temperature Scope,80,True,0.676418190342241,0.4879746835443038,0.6
LLaMA-3.2 1B,20,Semantic Scope,80,True,0.6407641819034224,0.4734177215189873,0.45454545454545453
LLaMA-3.2 1B,20,Input × Gradient,80,True,0.6319034224097516,0.46392405063291137,0.45454545454545453
LLaMA-3.2 1B,20,Fisher Scope (k=4),80,True,0.6643459915611815,0.490506329113924,0.45454545454545453
LLaMA-3.2 1B,20,Integrated Gradients,80,True,0.5726441631504923,0.4221518987341772,0.3333333333333333
LLaMA-3.2 1B,20,Random,80,True,-0.15447726207219878,-0.110126582278481,0.06666666666666667
LLaMA-3.2 1B,21,Temperature Scope,105,True,0.3456873315363881,0.2421245421245421,0.4666666666666667
LLaMA-3.2 1B,21,Semantic Scope,105,True,0.347211279286751,0.2432234432234432,0.4666666666666667
LLaMA-3.2 1B,21,Input × Gradient,105,True,0.3784159236989425,0.2706959706959707,0.5714285714285714
LLaMA-3.2 1B,21,Fisher Scope (k=4),105,True,0.3613311217084802,0.25384615384615383,0.4666666666666667
LLaMA-3.2 1B,21,Integrated Gradients,105,True,0.38754924320962053,0.2835164835164835,0.5714285714285714
LLaMA-3.2 1B,21,Random,105,True,0.054105328633630524,0.03626373626373626,0.0
LLaMA-3.2 1B,22,Temperature Scope,93,True,0.7438453045268718,0.5572697522206638,0.6666666666666666
LLaMA-3.2 1B,22,Semantic Scope,93,True,0.7255378830831667,0.5465170640486208,0.6666666666666666
LLaMA-3.2 1B,22,Input × Gradient,93,True,0.7318044821103517,0.5474520804114071,0.6666666666666666
LLaMA-3.2 1B,22,Fisher Scope (k=4),93,True,0.7545134433469607,0.5633473585787752,0.6666666666666666
LLaMA-3.2 1B,22,Integrated Gradients,93,True,0.1597684342454716,0.11173445535296866,0.3333333333333333
LLaMA-3.2 1B,22,Random,93,True,0.1132613171794336,0.08181393174380551,0.17647058823529413
LLaMA-3.2 1B,23,Temperature Scope,67,False,0.5477292680980127,0.3821800090456808,0.07692307692307693
LLaMA-3.2 1B,23,Semantic Scope,67,False,0.6320935429802859,0.44549977385798284,0.16666666666666666
LLaMA-3.2 1B,23,Input × Gradient,67,False,0.6575943810359967,0.47082767978290374,0.16666666666666666
LLaMA-3.2 1B,23,Fisher Scope (k=4),67,False,0.5664857530529174,0.3975576662143827,0.0
LLaMA-3.2 1B,23,Integrated Gradients,67,False,0.15543938063692236,0.0918136589778381,0.16666666666666666
LLaMA-3.2 1B,23,Random,67,False,0.12060020751855696,0.07914970601537767,0.07692307692307693
LLaMA-3.2 1B,24,Temperature Scope,72,True,0.4240787188886746,0.28090766823161184,0.23076923076923078
LLaMA-3.2 1B,24,Semantic Scope,72,True,0.42922374429223753,0.3059467918622848,0.23076923076923078
LLaMA-3.2 1B,24,Input × Gradient,72,True,0.4194803524342402,0.29577464788732394,0.14285714285714285
LLaMA-3.2 1B,24,Fisher Scope (k=4),72,True,0.49128561322271536,0.3435054773082942,0.23076923076923078
LLaMA-3.2 1B,24,Integrated Gradients,72,True,-0.0038909254614444663,-0.0023474178403755865,0.06666666666666667
LLaMA-3.2 1B,24,Random,72,True,-0.09701588526593351,-0.06651017214397496,0.0
LLaMA-3.2 1B,25,Temperature Scope,69,False,0.7110705151625868,0.5200341005967604,0.5555555555555556
LLaMA-3.2 1B,25,Semantic Scope,69,False,0.750785531603946,0.5328218243819267,0.2727272727272727
LLaMA-3.2 1B,25,Input × Gradient,69,False,0.7094629156010231,0.5115089514066495,0.2727272727272727
LLaMA-3.2 1B,25,Fisher Scope (k=4),69,False,0.7529411764705883,0.5618073316283034,0.4
LLaMA-3.2 1B,25,Integrated Gradients,69,False,0.4646693459992693,0.3341858482523444,0.2727272727272727
LLaMA-3.2 1B,25,Random,69,False,-0.08154914139568871,-0.04774083546462062,0.16666666666666666
LLaMA-3.2 1B,26,Temperature Scope,94,False,0.6397211284904094,0.4545870510180737,0.25
LLaMA-3.2 1B,26,Semantic Scope,94,False,0.59882960661778,0.4211850835049188,0.3333333333333333
LLaMA-3.2 1B,26,Input × Gradient,94,False,0.5746559260195788,0.4042553191489362,0.3333333333333333
LLaMA-3.2 1B,26,Fisher Scope (k=4),94,False,0.7099880793266625,0.5241363532372455,0.3333333333333333
LLaMA-3.2 1B,26,Integrated Gradients,94,False,0.3746198027670412,0.252345001143903,0.25
LLaMA-3.2 1B,26,Random,94,False,-0.009327023805223423,-0.0070921985815602835,0.1111111111111111
LLaMA-3.2 1B,27,Temperature Scope,71,True,0.5921193829644533,0.4309859154929578,0.45454545454545453
LLaMA-3.2 1B,27,Semantic Scope,71,True,0.6551307847082495,0.4832997987927566,0.45454545454545453
LLaMA-3.2 1B,27,Input × Gradient,71,True,0.6344064386317907,0.4704225352112677,0.3333333333333333
LLaMA-3.2 1B,27,Fisher Scope (k=4),71,True,0.642018779342723,0.4728370221327969,0.45454545454545453
LLaMA-3.2 1B,27,Integrated Gradients,71,True,0.28534540576794093,0.1967806841046278,0.23076923076923078
LLaMA-3.2 1B,27,Random,71,True,0.05043594902749831,0.039034205231388334,0.0
LLaMA-3.2 1B,28,Temperature Scope,77,False,0.6713286713286712,0.4907723855092276,0.45454545454545453
LLaMA-3.2 1B,28,Semantic Scope,77,False,0.71375992428624,0.5194805194805194,0.45454545454545453
LLaMA-3.2 1B,28,Input × Gradient,77,False,0.6970923813029076,0.504442925495557,0.45454545454545453
LLaMA-3.2 1B,28,Fisher Scope (k=4),77,False,0.7653136337346863,0.580997949419002,0.7777777777777778
LLaMA-3.2 1B,28,Integrated Gradients,77,False,0.42305063357694933,0.3007518796992481,0.3333333333333333
LLaMA-3.2 1B,28,Random,77,False,-0.017666543982333454,-0.010936431989063567,0.06666666666666667
LLaMA-3.2 1B,29,Temperature Scope,97,False,0.7165211445402904,0.5386597938144331,0.6666666666666666
LLaMA-3.2 1B,29,Semantic Scope,97,False,0.7146670523879655,0.5335051546391754,0.5384615384615384
LLaMA-3.2 1B,29,Input × Gradient,97,False,0.7136019356196085,0.5420962199312716,0.42857142857142855
LLaMA-3.2 1B,29,Fisher Scope (k=4),97,False,0.7209525562802439,0.5528350515463919,0.5384615384615384
LLaMA-3.2 1B,29,Integrated Gradients,97,False,0.11302072375341889,0.07860824742268042,0.1111111111111111
LLaMA-3.2 1B,29,Random,97,False,-0.08427572059751734,-0.05584192439862544,0.05263157894736842
LLaMA-3.2 1B,30,Temperature Scope,65,False,0.8291083916083916,0.6288461538461539,0.2727272727272727
LLaMA-3.2 1B,30,Semantic Scope,65,False,0.8272727272727273,0.6336538461538462,0.2727272727272727
LLaMA-3.2 1B,30,Input × Gradient,65,False,0.8359702797202797,0.6355769230769232,0.2727272727272727
LLaMA-3.2 1B,30,Fisher Scope (k=4),65,False,0.8496066433566433,0.6557692307692309,0.4
LLaMA-3.2 1B,30,Integrated Gradients,65,False,0.4880681818181818,0.35769230769230775,0.2727272727272727
LLaMA-3.2 1B,30,Random,65,False,-0.001617132867132867,-0.009615384615384618,0.16666666666666666
