model,dataset,subset,method,n,mean_aopc,sem_aopc,formatted
Qwen2.5 1.5B,IWSLT2017 DE→EN,correct_only,Temperature Scope,736,-1.4463206055839506,0.02303619827997987,-1.446 ± 0.023
Qwen2.5 1.5B,IWSLT2017 DE→EN,correct_only,Fisher Scope,736,-1.446605150451481,0.023431258497154793,-1.447 ± 0.023
Qwen2.5 3B,LAMBADA,all,Random,1000,-0.2934579008631701,0.010122156222505712,-0.293 ± 0.010
Qwen2.5 3B,LAMBADA,all,Integrated Gradients,1000,-1.3862201405202346,0.019250213519914915,-1.386 ± 0.019
Qwen2.5 3B,LAMBADA,all,Input × Gradient,1000,-1.3920685987484944,0.01909969297426967,-1.392 ± 0.019
Qwen2.5 3B,LAMBADA,all,Semantic Scope,1000,-1.335861623962342,0.019528087278136513,-1.336 ± 0.020
Qwen2.5 3B,LAMBADA,all,Temperature Scope,1000,-1.5536560135562574,0.01768778684648671,-1.554 ± 0.018
Qwen2.5 3B,LAMBADA,all,Fisher Scope,1000,-1.4101649222364139,0.01835053946578927,-1.410 ± 0.018
Qwen2.5 3B,LAMBADA,correct_only,Random,725,-0.3266729414390226,0.013016208550042478,-0.327 ± 0.013
Qwen2.5 3B,LAMBADA,correct_only,Integrated Gradients,725,-1.5908492998795938,0.018398075748573512,-1.591 ± 0.018
Qwen2.5 3B,LAMBADA,correct_only,Input × Gradient,725,-1.6009687432206559,0.01796498917210934,-1.601 ± 0.018
Qwen2.5 3B,LAMBADA,correct_only,Semantic Scope,725,-1.55131236776135,0.01857357914327621,-1.551 ± 0.019
Qwen2.5 3B,LAMBADA,correct_only,Temperature Scope,725,-1.7492147632609472,0.01643023822787832,-1.749 ± 0.016
Qwen2.5 3B,LAMBADA,correct_only,Fisher Scope,725,-1.5896531511374912,0.0185766604829396,-1.590 ± 0.019
Qwen2.5 3B,IWSLT2017 DE→EN,all,Random,500,-0.20249516988763935,0.010897335385798868,-0.202 ± 0.011
Qwen2.5 3B,IWSLT2017 DE→EN,all,Integrated Gradients,500,-1.1107995511766218,0.02411680136160442,-1.111 ± 0.024
Qwen2.5 3B,IWSLT2017 DE→EN,all,Input × Gradient,500,-1.1130705134475298,0.02412797107852189,-1.113 ± 0.024
Qwen2.5 3B,IWSLT2017 DE→EN,all,Semantic Scope,500,-1.0100983367948952,0.025216942464605534,-1.010 ± 0.025
Qwen2.5 3B,IWSLT2017 DE→EN,all,Temperature Scope,500,-1.2013593130014415,0.023198869481752624,-1.201 ± 0.023
Qwen2.5 3B,IWSLT2017 DE→EN,all,Fisher Scope,500,-1.1553582403290827,0.024113225490451074,-1.155 ± 0.024
Qwen2.5 3B,IWSLT2017 DE→EN,correct_only,Random,366,-0.19762153669871624,0.01297674634417635,-0.198 ± 0.013
Qwen2.5 3B,IWSLT2017 DE→EN,correct_only,Integrated Gradients,366,-1.1758293626042011,0.028256484313024913,-1.176 ± 0.028
Qwen2.5 3B,IWSLT2017 DE→EN,correct_only,Input × Gradient,366,-1.178913855263311,0.028253456184248786,-1.179 ± 0.028
Qwen2.5 3B,IWSLT2017 DE→EN,correct_only,Semantic Scope,366,-1.0393341452869567,0.03058937797585427,-1.039 ± 0.031
Qwen2.5 3B,IWSLT2017 DE→EN,correct_only,Temperature Scope,366,-1.2688106101314862,0.026510510471547295,-1.269 ± 0.027
Qwen2.5 3B,IWSLT2017 DE→EN,correct_only,Fisher Scope,366,-1.2240179344701012,0.02764473139787626,-1.224 ± 0.028
Gemma-3 1B,LAMBADA,all,Random,1000,-0.4179854223612916,0.011621370862628566,-0.418 ± 0.012
Gemma-3 1B,LAMBADA,all,Integrated Gradients,1000,-0.6389502968370648,0.017419265453078085,-0.639 ± 0.017
Gemma-3 1B,LAMBADA,all,Input × Gradient,1000,-1.5614356991035985,0.02171739848726825,-1.561 ± 0.022
Gemma-3 1B,LAMBADA,all,Semantic Scope,1000,-1.6353248971769703,0.021698490125776047,-1.635 ± 0.022
Gemma-3 1B,LAMBADA,all,Temperature Scope,1000,-1.6617659340107933,0.021011351201283262,-1.662 ± 0.021
Gemma-3 1B,LAMBADA,all,Fisher Scope,1000,-1.6698912421791003,0.020052816344570134,-1.670 ± 0.020
Gemma-3 1B,LAMBADA,correct_only,Random,592,-0.4876850276191562,0.016081217835059527,-0.488 ± 0.016
Gemma-3 1B,LAMBADA,correct_only,Integrated Gradients,592,-0.75578727520293,0.024288327837864093,-0.756 ± 0.024
Gemma-3 1B,LAMBADA,correct_only,Input × Gradient,592,-1.8956317142794434,0.020488779574219167,-1.896 ± 0.020
Gemma-3 1B,LAMBADA,correct_only,Semantic Scope,592,-1.98234407205445,0.019867111093480643,-1.982 ± 0.020
Gemma-3 1B,LAMBADA,correct_only,Temperature Scope,592,-1.9814775086747605,0.019947001684370535,-1.981 ± 0.020
Gemma-3 1B,LAMBADA,correct_only,Fisher Scope,592,-1.964313909720108,0.019696974890458054,-1.964 ± 0.020
Gemma-3 1B,IWSLT2017 DE→EN,all,Random,1000,-0.4054545447831877,0.01068678636167439,-0.405 ± 0.011
Gemma-3 1B,IWSLT2017 DE→EN,all,Integrated Gradients,1000,-0.9077034315736418,0.01706224689157728,-0.908 ± 0.017
Gemma-3 1B,IWSLT2017 DE→EN,all,Input × Gradient,1000,-1.3558497609988995,0.016849364953689747,-1.356 ± 0.017
Gemma-3 1B,IWSLT2017 DE→EN,all,Semantic Scope,1000,-1.302387386917859,0.017181742948949093,-1.302 ± 0.017
Gemma-3 1B,IWSLT2017 DE→EN,all,Temperature Scope,1000,-1.2901478030640114,0.017159195637032842,-1.290 ± 0.017
Gemma-3 1B,IWSLT2017 DE→EN,all,Fisher Scope,1000,-1.392636063633461,0.016735293761795618,-1.393 ± 0.017
Gemma-3 1B,IWSLT2017 DE→EN,correct_only,Random,735,-0.4055577438775648,0.012379195839296411,-0.406 ± 0.012
Gemma-3 1B,IWSLT2017 DE→EN,correct_only,Integrated Gradients,735,-0.9164738104008914,0.02031648968368422,-0.916 ± 0.020
Gemma-3 1B,IWSLT2017 DE→EN,correct_only,Input × Gradient,735,-1.4353406270720401,0.01888556311560062,-1.435 ± 0.019
Gemma-3 1B,IWSLT2017 DE→EN,correct_only,Semantic Scope,735,-1.3639774879449225,0.019736136486592136,-1.364 ± 0.020
Gemma-3 1B,IWSLT2017 DE→EN,correct_only,Temperature Scope,735,-1.3580866319970568,0.019372054119903764,-1.358 ± 0.019
Gemma-3 1B,IWSLT2017 DE→EN,correct_only,Fisher Scope,735,-1.4719512383156697,0.01863555680097601,-1.472 ± 0.019
Gemma-3 4B,LAMBADA,all,Random,1000,-0.2906461419601474,0.01037791328730395,-0.291 ± 0.010
Gemma-3 4B,LAMBADA,all,Integrated Gradients,1000,-1.4304620565550095,0.025349958921157403,-1.430 ± 0.025
Gemma-3 4B,LAMBADA,all,Input × Gradient,1000,-1.7041862462301347,0.02705041672202762,-1.704 ± 0.027
Gemma-3 4B,LAMBADA,all,Semantic Scope,1000,-1.7748258049641346,0.026661810952429216,-1.775 ± 0.027
Gemma-3 4B,LAMBADA,all,Temperature Scope,1000,-1.7780498669263747,0.027004623522376186,-1.778 ± 0.027
Gemma-3 4B,LAMBADA,all,Fisher Scope,1000,-1.8143643172972443,0.02552301234113117,-1.814 ± 0.026
Gemma-3 4B,LAMBADA,correct_only,Random,752,-0.33069937537787336,0.012852262827222457,-0.331 ± 0.013
Gemma-3 4B,LAMBADA,correct_only,Integrated Gradients,752,-1.6217979122046966,0.028309998289120456,-1.622 ± 0.028
Gemma-3 4B,LAMBADA,correct_only,Input × Gradient,752,-1.9965062002015541,0.026323484516133627,-1.997 ± 0.026
Gemma-3 4B,LAMBADA,correct_only,Semantic Scope,752,-2.063760881434871,0.025747817836879103,-2.064 ± 0.026
Gemma-3 4B,LAMBADA,correct_only,Temperature Scope,752,-2.0604675038404143,0.026975198680282128,-2.060 ± 0.027
Gemma-3 4B,LAMBADA,correct_only,Fisher Scope,752,-2.073124516806191,0.025533865593759243,-2.073 ± 0.026
Gemma-3 4B,IWSLT2017 DE→EN,all,Random,1000,-0.18091971916809452,0.006920747036192103,-0.181 ± 0.007
Gemma-3 4B,IWSLT2017 DE→EN,all,Integrated Gradients,1000,-1.2084628945538822,0.017666294906149668,-1.208 ± 0.018
Gemma-3 4B,IWSLT2017 DE→EN,all,Input × Gradient,1000,-1.1707661947240167,0.01840299491033774,-1.171 ± 0.018
Gemma-3 4B,IWSLT2017 DE→EN,all,Semantic Scope,1000,-1.055343484602501,0.01876096170826177,-1.055 ± 0.019
Gemma-3 4B,IWSLT2017 DE→EN,all,Temperature Scope,1000,-0.9929983584454156,0.01837822738197074,-0.993 ± 0.018
Gemma-3 4B,IWSLT2017 DE→EN,all,Fisher Scope,1000,-1.1964729113017607,0.018200056234494732,-1.196 ± 0.018
Gemma-3 4B,IWSLT2017 DE→EN,correct_only,Random,767,-0.18013288786204665,0.008019301720703406,-0.180 ± 0.008
Gemma-3 4B,IWSLT2017 DE→EN,correct_only,Integrated Gradients,767,-1.239047480560724,0.020186241122876376,-1.239 ± 0.020
Gemma-3 4B,IWSLT2017 DE→EN,correct_only,Input × Gradient,767,-1.2380436470695728,0.020799665059280305,-1.238 ± 0.021
Gemma-3 4B,IWSLT2017 DE→EN,correct_only,Semantic Scope,767,-1.089732274406194,0.021820629544136584,-1.090 ± 0.022
Gemma-3 4B,IWSLT2017 DE→EN,correct_only,Temperature Scope,767,-1.0388942813144824,0.021175529834554584,-1.039 ± 0.021
Gemma-3 4B,IWSLT2017 DE→EN,correct_only,Fisher Scope,767,-1.2474715958547846,0.020664101619318045,-1.247 ± 0.021
