alpha,bos_1_mass,bos_2_mass,bos_plus_2_content_mass
0.31,0.07278873026371002,0.13972508907318115,0.36529406905174255
0.32,0.0945652648806572,0.16846853494644165,0.408430814743042
0.33,0.11127293109893799,0.18792489171028137,0.4192715287208557
0.34,0.11531706154346466,0.19154448807239532,0.4008336663246155
0.35000000000000003,0.10847960412502289,0.18175464868545532,0.3633629381656647
0.36000000000000004,0.10251092165708542,0.17237943410873413,0.32887884974479675
0.37,0.09984159469604492,0.1668536514043808,0.3082330524921417
0.38,0.08903791010379791,0.1511746048927307,0.27584412693977356
0.39,0.07127664238214493,0.12461846321821213,0.22635474801063538
0.4,0.05415254458785057,0.09961409866809845,0.18903017044067383
0.41000000000000003,0.04610655456781387,0.08964251726865768,0.18179011344909668
0.42000000000000004,0.04589551314711571,0.09101363271474838,0.18867893517017365
0.43,0.04832199215888977,0.09562649577856064,0.1958039551973343
0.44,0.051244985312223434,0.10044769942760468,0.20071837306022644
0.45,0.05367990955710411,0.1042243167757988,0.20341064035892487
0.46,0.05492322891950607,0.10610469430685043,0.20390081405639648
0.47000000000000003,0.05484544485807419,0.10594886541366577,0.202466681599617
0.48000000000000004,0.05372980237007141,0.10415748506784439,0.19959770143032074
0.49,0.05198844149708748,0.10131943225860596,0.1958530694246292
0.5,0.050005849450826645,0.09800273180007935,0.19178776443004608
0.51,0.04807232320308685,0.09465797990560532,0.1878834366798401
0.52,0.04636579751968384,0.09158331155776978,0.18449093401432037
0.53,0.044964537024497986,0.08893479406833649,0.18182273209095
0.54,0.04388056695461273,0.08677007257938385,0.17999592423439026
0.55,0.04309146851301193,0.08509121835231781,0.17907339334487915
0.56,0.042562808841466904,0.0838753953576088,0.17908325791358948
0.5700000000000001,0.042255982756614685,0.08308365195989609,0.18001089990139008
0.5800000000000001,0.04212852567434311,0.08265925198793411,0.1817825883626938
0.59,0.042132146656513214,0.08252402395009995,0.18425999581813812
0.6,0.042213261127471924,0.0825810506939888,0.1872534602880478
0.61,0.04231690242886543,0.08272390812635422,0.19054806232452393
0.62,0.04239466041326523,0.08285411447286606,0.1939387023448944
0.63,0.04241045191884041,0.08289413899183273,0.19725564122200012
0.64,0.04234405606985092,0.08279593288898468,0.2003784477710724
0.65,0.042189836502075195,0.08253969252109528,0.20323728024959564
